times,winds,temps,intensity,angle1,angle2
18.4471,29.67,932.73,1279.6,102.6,0.0
18.9855,20.65,839.26,334.32,102.6,0.0
19.5239,27.33,766.38,207.37,102.6,0.0
20.0624,32.36,752.97,203.13,102.6,0.0
20.6007,22.99,744.73,342.1,102.6,0.0
21.139,34.35,841.35,521.77,102.6,0.0
21.6775,27.36,866.52,1053.52,102.6,0.0
22.2159,22.42,877.71,1342.85,102.6,0.0
22.7544,27.43,739.83,832.16,102.6,0.0
23.2929,18.33,764.01,650.65,102.6,0.0
23.8314,3.2,699.77,394.37,102.6,0.0
24.3698,14.08,654.09,273.48,102.6,0.0
24.9082,14.46,580.85,228.37,102.6,0.0
25.4467,-13.18,543.5,208.24,102.6,0.0
25.9852,-32.58,643.26,149.47,102.6,0.0
26.5235,-32.18,434.35,129.59,102.6,0.0
18.3418,67.86,926.76,2069.86,12.7,-50.2
18.8273,69.16,915.43,701.95,12.7,-50.2
19.3656,71.9,831.43,382.7,12.7,-50.2
19.9041,47.43,761.21,263.78,12.7,-50.2
20.4424,75.74,780.35,883.84,12.7,-50.2
20.9808,65.6,868.73,1304.53,12.7,-50.2
21.5192,32.39,915.0,1710.17,12.7,-50.2
22.0576,6.51,846.31,1660.74,12.7,-50.2
22.5961,15.73,752.57,858.49,12.7,-50.2
23.1346,15.61,759.81,499.35,12.7,-50.2
23.6733,7.8,733.51,340.84,12.7,-50.2
24.2116,14.15,671.29,235.28,12.7,-50.2
24.75,13.42,740.91,177.43,12.7,-50.2
25.2884,-37.0,790.9,147.22,12.7,-50.2
25.8269,16.16,658.07,108.28,12.7,-50.2
26.3653,-0.98,582.81,122.82,12.7,-50.2
18.3946,64.81,1025.87,1194.77,102.6,50.2
18.933,93.86,816.59,322.74,102.6,50.2
19.4713,77.68,725.27,199.22,102.6,50.2
20.0098,81.47,665.43,191.08,102.6,50.2
20.5482,102.97,777.75,345.75,102.6,50.2
21.0865,113.01,820.43,556.12,102.6,50.2
21.6249,101.13,626.21,760.03,102.6,50.2
22.1633,104.68,275.37,757.11,102.6,50.2
22.7018,18.6,782.95,600.21,102.6,50.2
23.2404,22.67,772.78,539.87,102.6,50.2
23.7788,8.47,654.9,266.78,102.6,50.2
24.3173,-17.3,740.0,231.21,102.6,50.2
24.8557,16.5,614.74,160.73,102.6,50.2
25.3941,11.97,573.14,145.54,102.6,50.2
25.9326,-8.39,664.44,115.22,102.6,50.2
26.471,-6.22,566.19,107.41,102.6,50.2
18.4998,27.51,1016.67,1617.51,45.1,-45.0
19.0382,33.93,883.43,482.05,45.1,-45.0
19.5766,30.24,803.23,365.71,45.1,-45.0
20.115,20.52,764.82,530.0,45.1,-45.0
20.6534,11.75,905.0,904.82,45.1,-45.0
21.1917,4.96,882.18,1276.3,45.1,-45.0
21.7302,-12.88,828.38,1776.04,45.1,-45.0
22.2687,1.63,854.26,1135.14,45.1,-45.0
22.8071,25.47,769.1,714.41,45.1,-45.0
23.3456,11.85,712.18,611.94,45.1,-45.0
23.8841,-1.72,702.09,326.02,45.1,-45.0
24.4225,25.45,695.17,237.72,45.1,-45.0
24.9609,8.7,683.76,172.93,45.1,-45.0
25.4994,18.02,700.63,173.64,45.1,-45.0
26.0379,16.67,642.75,132.37,45.1,-45.0
18.5524,-3.32,1034.71,1784.21,90.0,-45.0
19.0908,10.76,924.75,356.43,90.0,-45.0
19.6294,-43.28,856.59,325.65,90.0,-45.0
20.1676,-40.41,769.9,346.55,90.0,-45.0
20.7059,-36.46,858.46,545.53,90.0,-45.0
21.2443,-43.15,771.52,855.62,90.0,-45.0
21.7828,-38.85,827.43,1490.24,90.0,-45.0
22.3212,-14.95,824.6,1306.95,90.0,-45.0
22.8597,13.08,758.92,807.88,90.0,-45.0
23.3982,11.72,739.64,602.17,90.0,-45.0
23.9366,0.92,701.49,310.08,90.0,-45.0
24.4751,13.51,738.78,254.85,90.0,-45.0
25.0135,-5.3,556.78,173.94,90.0,-45.0
25.5519,-1.71,721.3,170.28,90.0,-45.0
26.0904,-0.88,836.03,140.19,90.0,-45.0
18.6049,-28.97,911.44,1391.31,134.9,-45.0
18.6572,-30.35,1034.45,1160.3,134.9,-45.0
18.7094,-35.17,887.95,930.67,134.9,-45.0
18.7616,-44.06,924.66,780.57,134.9,-45.0
19.1433,-26.06,906.62,332.72,134.9,-45.0
19.1955,-40.02,829.0,303.03,134.9,-45.0
19.2478,-35.79,842.17,284.86,134.9,-45.0
19.3,0.62,772.11,220.91,134.9,-45.0
19.6817,-74.33,841.92,237.06,134.9,-45.0
19.7339,-40.11,730.59,228.2,134.9,-45.0
19.7862,-7.24,753.89,225.12,134.9,-45.0
19.8384,-19.78,765.59,206.5,134.9,-45.0
20.2201,-91.71,682.22,239.47,134.9,-45.0
20.2724,-64.06,786.25,215.74,134.9,-45.0
20.3246,-70.61,790.89,225.21,134.9,-45.0
20.3768,-64.96,733.36,228.8,134.9,-45.0
20.7585,-63.84,754.73,317.73,134.9,-45.0
20.8107,-38.92,733.14,306.66,134.9,-45.0
20.8629,-64.08,736.77,317.4,134.9,-45.0
20.9152,-41.82,757.25,385.97,134.9,-45.0
21.2968,-59.53,797.19,531.8,134.9,-45.0
21.349,-65.24,764.36,577.72,134.9,-45.0
21.4013,-70.0,880.48,695.48,134.9,-45.0
21.4535,-51.42,804.89,722.02,134.9,-45.0
21.8353,-30.3,828.17,1013.77,134.9,-45.0
21.8876,-36.7,859.41,1112.45,134.9,-45.0
21.9398,-31.2,794.53,1105.44,134.9,-45.0
21.992,-36.85,818.87,1192.83,134.9,-45.0
22.3737,-8.36,837.53,1139.55,134.9,-45.0
22.426,6.3,807.62,1007.82,134.9,-45.0
22.4782,7.48,825.66,995.67,134.9,-45.0
22.5305,-3.64,802.13,1116.42,134.9,-45.0
22.9123,16.86,743.21,740.86,134.9,-45.0
